,source_singular,country,country_total,country_pct,source_singular,sub_event_type,sub_event_type_total,sub_event_type_pct
57,Montreal Gazette,Canada_majority,42,1.0,Montreal Gazette,Peaceful_protest_majority,32,0.7619047619047619
58,Le Devoir,Canada_majority,23,1.0,Le Devoir,Peaceful_protest_majority,17,0.7391304347826086
59,Bristolpost,United_Kingdom_majority,20,1.0,Bristolpost,Peaceful_protest_majority,19,0.95
60,Sud Ouest,France_majority,286,1.0,Sud Ouest,Peaceful_protest_majority,277,0.9685314685314685
61,Daily Excelsior,India_majority,337,1.0,Daily Excelsior,Peaceful_protest_majority,311,0.9228486646884273
62,Amar Ujala,India_majority,205,1.0,Amar Ujala,Peaceful_protest_majority,160,0.7804878048780488
63,Kookje Shinmun,South_Korea_majority,40,1.0,Kookje Shinmun,Peaceful_protest_majority,40,1.0
64,Hamburger Abendblatt,Germany_majority,98,1.0,Hamburger Abendblatt,Peaceful_protest_majority,82,0.8367346938775511
65,Radiodresden,Germany_majority,237,1.0,Radiodresden,Peaceful_protest_majority,222,0.9367088607594937
66,Dresdner Neueste Nachrichten,Germany_majority,84,1.0,Dresdner Neueste Nachrichten,Peaceful_protest_majority,75,0.8928571428571429
67,Ostsee Zeitung,Germany_majority,61,1.0,Ostsee Zeitung,Peaceful_protest_majority,59,0.9672131147540983
68,Kantipur,Nepal_majority,85,1.0,Kantipur,Peaceful_protest_majority,75,0.8823529411764706
69,Westdeutsche Allgemeine Zeitung,Germany_majority,64,0.9846153846153847,Westdeutsche Allgemeine Zeitung,Peaceful_protest_majority,62,0.9538461538461539
70,Westfalen Post,Germany_majority,25,1.0,Westfalen Post,Peaceful_protest_majority,23,0.92
71,Saarbruecker Zeitung,Germany_majority,63,0.984375,Saarbruecker Zeitung,Peaceful_protest_majority,59,0.921875
72,Donau Kurier,Germany_majority,110,1.0,Donau Kurier,Peaceful_protest_majority,106,0.9636363636363636
73,Kyunghyang Shinmun,South_Korea_majority,148,0.9932885906040269,Kyunghyang Shinmun,Peaceful_protest_majority,144,0.9664429530201343
74,Matichon,Thailand_majority,77,1.0,Matichon,Peaceful_protest_majority,73,0.948051948051948
75,YNA,South_Korea_majority,560,0.9911504424778761,YNA,Peaceful_protest_majority,553,0.9787610619469026
76,Trmtv,Italy_majority,59,1.0,Trmtv,Peaceful_protest_majority,59,1.0
77,TriestePrima,Italy_majority,68,1.0,TriestePrima,Peaceful_protest_majority,59,0.8676470588235294
78,Free Press Journal (India),India_majority,85,1.0,Free Press Journal (India),Peaceful_protest_majority,62,0.7294117647058823
79,Il Quotidiano Del Sud,Italy_majority,56,1.0,Il Quotidiano Del Sud,Peaceful_protest_majority,54,0.9642857142857143
80,Diario Primicia,Venezuela_majority,18,1.0,Diario Primicia,Peaceful_protest_majority,16,0.8888888888888888
81,EDaily,South_Korea_majority,131,0.9924242424242424,EDaily,Peaceful_protest_majority,128,0.9696969696969697
82,France Bleu,France_majority,560,1.0,France Bleu,Peaceful_protest_majority,526,0.9392857142857143
83,CBS News,United_States_majority,11,1.0,CBS News,Peaceful_protest_majority,9,0.8181818181818182
84,Chicago Tribune,United_States_majority,27,1.0,Chicago Tribune,Peaceful_protest_majority,26,0.9629629629629629
85,News1,South_Korea_majority,316,0.9968454258675079,News1,Peaceful_protest_majority,312,0.9842271293375394
86,YTN,South_Korea_majority,164,1.0,YTN,Peaceful_protest_majority,158,0.9634146341463414
87,Heute - Osterreichs Neue Tageszeitung,Austria_majority,95,0.9895833333333334,Heute - Osterreichs Neue Tageszeitung,Peaceful_protest_majority,75,0.78125
88,Le Mauricien,Mauritius_majority,21,1.0,Le Mauricien,Peaceful_protest_majority,20,0.9523809523809523
89,Defi Media,Mauritius_majority,16,1.0,Defi Media,Peaceful_protest_majority,14,0.875
90,El Heraldo (Honduras),Honduras_majority,49,1.0,El Heraldo (Honduras),Peaceful_protest_majority,39,0.7959183673469388
91,El Pais (Honduras),Honduras_majority,36,1.0,El Pais (Honduras),Peaceful_protest_majority,35,0.9722222222222222
92,Berliner Morgenpost,Germany_majority,101,1.0,Berliner Morgenpost,Peaceful_protest_majority,75,0.7425742574257426
93,Markische Allgemeine,Germany_majority,54,1.0,Markische Allgemeine,Peaceful_protest_majority,53,0.9814814814814815
94,AT 5,Netherlands_majority,41,1.0,AT 5,Peaceful_protest_majority,25,0.6097560975609756
95,Kolnische Rundschau,Germany_majority,87,1.0,Kolnische Rundschau,Peaceful_protest_majority,80,0.9195402298850575
96,Actu,France_majority,304,1.0,Actu,Peaceful_protest_majority,281,0.9243421052631579
97,Hessische Niedersachsische Allgemeine,Germany_majority,162,1.0,Hessische Niedersachsische Allgemeine,Peaceful_protest_majority,140,0.8641975308641975
98,National News Agency Lebanon,Lebanon_majority,25,1.0,National News Agency Lebanon,Peaceful_protest_majority,21,0.84
99,Karar,Turkey_majority,30,1.0,Karar,Change_to_group_activity_majority,24,0.8
100,Anadolu Agency,Turkey_majority,78,0.8666666666666667,Anadolu Agency,Change_to_group_activity_majority,81,0.9
101,New Zealand Herald,New_Zealand_majority,73,1.0,New Zealand Herald,Peaceful_protest_majority,56,0.7671232876712328
102,I Avgi,Greece_majority,130,1.0,I Avgi,Peaceful_protest_majority,118,0.9076923076923077
103,Hiba Press,Morocco_majority,28,1.0,Hiba Press,Peaceful_protest_majority,22,0.7857142857142857
104,Cyprus Mail,Cyprus_majority,28,1.0,Cyprus Mail,Peaceful_protest_majority,26,0.9285714285714286
105,Diario de Morelos,Mexico_majority,17,1.0,Diario de Morelos,Peaceful_protest_majority,15,0.8823529411764706
106,Sentinel (India),India_majority,153,1.0,Sentinel (India),Peaceful_protest_majority,145,0.9477124183006536
107,Sudwest Presse,Germany_majority,130,1.0,Sudwest Presse,Peaceful_protest_majority,120,0.9230769230769231
108,Global News (Canada),Canada_majority,79,1.0,Global News (Canada),Peaceful_protest_majority,67,0.8481012658227848
109,CP24,Canada_majority,17,1.0,CP24,Peaceful_protest_majority,12,0.7058823529411765
110,Waterloo Region Record,Canada_majority,28,1.0,Waterloo Region Record,Peaceful_protest_majority,27,0.9642857142857143
111,Correo del Sur,Bolivia_majority,170,1.0,Correo del Sur,Peaceful_protest_majority,143,0.8411764705882353
112,La Region (Peru),Peru_majority,20,1.0,La Region (Peru),Peaceful_protest_majority,18,0.9
113,Janakpur Today,Nepal_majority,19,1.0,Janakpur Today,Peaceful_protest_majority,16,0.8421052631578947
114,News12 (Brooklyn),United_States_majority,14,1.0,News12 (Brooklyn),Peaceful_protest_majority,14,1.0
115,Telegraph-Journal (Canada),Canada_majority,24,1.0,Telegraph-Journal (Canada),Peaceful_protest_majority,18,0.75
116,El Sol de Sinaloa,Mexico_majority,25,1.0,El Sol de Sinaloa,Peaceful_protest_majority,23,0.92
117,Ancona Today,Italy_majority,41,1.0,Ancona Today,Peaceful_protest_majority,41,1.0
118,KDKA2,United_States_majority,21,1.0,KDKA2,Peaceful_protest_majority,20,0.9523809523809523
119,La Tribuna (Honduras),Honduras_majority,113,1.0,La Tribuna (Honduras),Peaceful_protest_majority,95,0.8407079646017699
120,Aydinlik,Turkey_majority,14,1.0,Aydinlik,Change_to_group_activity_majority,13,0.9285714285714286
121,A Haber,Turkey_majority,11,1.0,A Haber,Change_to_group_activity_majority,9,0.8181818181818182
122,AKIpress,Kyrgyzstan_majority,13,1.0,AKIpress,Peaceful_protest_majority,9,0.6923076923076923
123,Los Angeles Daily News,United_States_majority,27,1.0,Los Angeles Daily News,Peaceful_protest_majority,27,1.0
124,Prateek Daily,Nepal_majority,51,1.0,Prateek Daily,Peaceful_protest_majority,33,0.6470588235294118
125,Helmstedter Nachrichten,Germany_majority,10,1.0,Helmstedter Nachrichten,Peaceful_protest_majority,9,0.9
126,Windsor Star,Canada_majority,41,1.0,Windsor Star,Peaceful_protest_majority,35,0.8536585365853658
127,Gilets Jaunes,France_majority,14,1.0,Gilets Jaunes,Peaceful_protest_majority,14,1.0
128,Daily Hive,Canada_majority,34,1.0,Daily Hive,Peaceful_protest_majority,30,0.8823529411764706
129,Toronto Star,Canada_majority,80,1.0,Toronto Star,Peaceful_protest_majority,61,0.7625
130,Hamilton Spectator,Canada_majority,25,1.0,Hamilton Spectator,Peaceful_protest_majority,22,0.88
131,Bologna Today,Italy_majority,154,1.0,Bologna Today,Peaceful_protest_majority,147,0.9545454545454546
132,GroundUp,South_Africa_majority,96,1.0,GroundUp,Peaceful_protest_majority,67,0.6979166666666666
133,Channel 31,Kazakhstan_majority,90,1.0,Channel 31,Peaceful_protest_majority,88,0.9777777777777777
134,Prensa Comunitaria,Guatemala_majority,23,1.0,Prensa Comunitaria,Peaceful_protest_majority,17,0.7391304347826086
135,Hindustan Times,India_majority,449,1.0,Hindustan Times,Peaceful_protest_majority,314,0.6993318485523385
136,Pioneer (India),India_majority,106,1.0,Pioneer (India),Peaceful_protest_majority,68,0.6415094339622641
137,Diario Correo (Peru),Peru_majority,373,0.9973262032085561,Diario Correo (Peru),Peaceful_protest_majority,300,0.8021390374331551
138,RTHK,China_majority,44,1.0,RTHK,Peaceful_protest_majority,34,0.7727272727272727
139,RTV Noord,Netherlands_majority,13,1.0,RTV Noord,Peaceful_protest_majority,10,0.7692307692307693
140,Ihlas News Agency,Turkey_majority,39,1.0,Ihlas News Agency,Change_to_group_activity_majority,27,0.6923076923076923
141,El Pais (Uruguay),Uruguay_majority,10,0.9090909090909091,El Pais (Uruguay),Peaceful_protest_majority,10,0.9090909090909091
142,WDRB,United_States_majority,12,1.0,WDRB,Peaceful_protest_majority,11,0.9166666666666666
143,Kleine Zeitung,Austria_majority,30,0.967741935483871,Kleine Zeitung,Peaceful_protest_majority,24,0.7741935483870968
144,Radio Osterreich 1,Austria_majority,193,0.9846938775510204,Radio Osterreich 1,Peaceful_protest_majority,165,0.8418367346938775
145,Krone,Austria_majority,111,0.9327731092436975,Krone,Peaceful_protest_majority,101,0.8487394957983193
146,Venezia Today,Italy_majority,88,1.0,Venezia Today,Peaceful_protest_majority,85,0.9659090909090909
147,Haderi Ha Haredeem,Israel_majority,11,0.7857142857142857,Haderi Ha Haredeem,Mob_violence_majority,10,0.7142857142857143
148,Dongyang Ilbo,South_Korea_majority,18,1.0,Dongyang Ilbo,Peaceful_protest_majority,16,0.8888888888888888
149,CLB (China),China_majority,38,1.0,CLB (China),Peaceful_protest_majority,34,0.8947368421052632
150,Ziarul de Iasi,Romania_majority,40,1.0,Ziarul de Iasi,Peaceful_protest_majority,30,0.75
151,Hankyoreh,South_Korea_majority,97,1.0,Hankyoreh,Peaceful_protest_majority,94,0.9690721649484536
152,New Indian Express,India_majority,130,1.0,New Indian Express,Peaceful_protest_majority,89,0.6846153846153846
153,Chandigarh Tribune,India_majority,373,1.0,Chandigarh Tribune,Peaceful_protest_majority,334,0.8954423592493298
154,HCH,Honduras_majority,45,1.0,HCH,Peaceful_protest_majority,40,0.8888888888888888
155,Proceso Digital,Honduras_majority,88,1.0,Proceso Digital,Peaceful_protest_majority,74,0.8409090909090909
156,Tribunnews,Indonesia_majority,324,1.0,Tribunnews,Peaceful_protest_majority,266,0.8209876543209876
157,Noroeste,Mexico_majority,28,1.0,Noroeste,Peaceful_protest_majority,28,1.0
158,ABC7 (New York),United_States_majority,38,1.0,ABC7 (New York),Peaceful_protest_majority,35,0.9210526315789473
159,News 12,United_States_majority,15,1.0,News 12,Peaceful_protest_majority,14,0.9333333333333333
160,Anti-Defamation League,United_States_majority,28,1.0,Anti-Defamation League,Other_majority,25,0.8928571428571429
161,FNN,Japan_majority,21,1.0,FNN,Peaceful_protest_majority,16,0.7619047619047619
162,L'Adige,Italy_majority,126,1.0,L'Adige,Peaceful_protest_majority,120,0.9523809523809523
163,Fox11 (Los Angeles),United_States_majority,18,1.0,Fox11 (Los Angeles),Peaceful_protest_majority,17,0.9444444444444444
164,La Manche Libre,France_majority,20,1.0,La Manche Libre,Peaceful_protest_majority,20,1.0
165,Kreiszeitung,Germany_majority,101,1.0,Kreiszeitung,Peaceful_protest_majority,85,0.8415841584158416
166,Orissa TV,India_majority,74,1.0,Orissa TV,Peaceful_protest_majority,57,0.7702702702702703
167,Il Pescara,Italy_majority,74,1.0,Il Pescara,Peaceful_protest_majority,74,1.0
168,France24,France_majority,11,0.7857142857142857,France24,Peaceful_protest_majority,10,0.7142857142857143
169,El Salvador.com,El_Salvador_majority,15,1.0,El Salvador.com,Peaceful_protest_majority,13,0.8666666666666667
170,Free Union of Iranian Workers,Iran_majority,130,1.0,Free Union of Iranian Workers,Peaceful_protest_majority,124,0.9538461538461539
171,Eteraze Bazar,Iran_majority,55,1.0,Eteraze Bazar,Peaceful_protest_majority,53,0.9636363636363636
172,Iran Kargar,Iran_majority,90,1.0,Iran Kargar,Peaceful_protest_majority,86,0.9555555555555556
173,Annapurna Post,Nepal_majority,81,1.0,Annapurna Post,Peaceful_protest_majority,50,0.6172839506172839
174,The Hindu,India_majority,379,1.0,The Hindu,Peaceful_protest_majority,319,0.841688654353562
175,Ruhrnachrichten,Germany_majority,75,1.0,Ruhrnachrichten,Peaceful_protest_majority,67,0.8933333333333333
176,Cerveaux Non Disponibles,France_majority,61,0.953125,Cerveaux Non Disponibles,Peaceful_protest_majority,51,0.796875
177,FTV,Taiwan_majority,25,1.0,FTV,Peaceful_protest_majority,23,0.92
178,Diario de Chimbote (Peru),Peru_majority,14,1.0,Diario de Chimbote (Peru),Peaceful_protest_majority,14,1.0
179,AMNA,Greece_majority,153,1.0,AMNA,Peaceful_protest_majority,108,0.7058823529411765
180,Redheaded Blackbelt,United_States_majority,10,1.0,Redheaded Blackbelt,Peaceful_protest_majority,9,0.9
181,Hoy Tamaulipas,Mexico_majority,70,1.0,Hoy Tamaulipas,Peaceful_protest_majority,65,0.9285714285714286
182,El Observador,Uruguay_majority,14,1.0,El Observador,Peaceful_protest_majority,11,0.7857142857142857
183,Seoul Shinmun,South_Korea_majority,143,0.9930555555555556,Seoul Shinmun,Peaceful_protest_majority,136,0.9444444444444444
184,El Faro De Ceuta,Spain_majority,18,1.0,El Faro De Ceuta,Peaceful_protest_majority,17,0.9444444444444444
185,Milenio,Mexico_majority,480,1.0,Milenio,Peaceful_protest_majority,445,0.9270833333333334
186,La Depeche,France_majority,269,1.0,La Depeche,Peaceful_protest_majority,264,0.9814126394052045
187,Ottawa Citizen,Canada_majority,52,1.0,Ottawa Citizen,Peaceful_protest_majority,40,0.7692307692307693
188,Ratopati,Nepal_majority,107,1.0,Ratopati,Peaceful_protest_majority,83,0.7757009345794392
189,La Silla Rota,Mexico_majority,188,1.0,La Silla Rota,Peaceful_protest_majority,168,0.8936170212765957
190,El Periodico,Guatemala_majority,54,0.9642857142857143,El Periodico,Peaceful_protest_majority,42,0.75
191,France 3 Regions,France_majority,830,0.9975961538461539,France 3 Regions,Peaceful_protest_majority,762,0.9158653846153846
192,Saskatoon StarPhoenix,Canada_majority,36,1.0,Saskatoon StarPhoenix,Peaceful_protest_majority,33,0.9166666666666666
193,KGUN9,United_States_majority,15,1.0,KGUN9,Peaceful_protest_majority,15,1.0
194,Schwabische Zeitung,Germany_majority,64,1.0,Schwabische Zeitung,Peaceful_protest_majority,56,0.875
195,Europa Press,Spain_majority,162,1.0,Europa Press,Peaceful_protest_majority,157,0.9691358024691358
196,WSVN,United_States_majority,22,1.0,WSVN,Peaceful_protest_majority,19,0.8636363636363636
197,Publico (Spain),Spain_majority,38,1.0,Publico (Spain),Peaceful_protest_majority,37,0.9736842105263158
198,Northlines,India_majority,22,1.0,Northlines,Peaceful_protest_majority,20,0.9090909090909091
199,ArezzoWeb,Italy_majority,19,1.0,ArezzoWeb,Peaceful_protest_majority,17,0.8947368421052632
200,BRUZZ,Belgium_majority,73,1.0,BRUZZ,Peaceful_protest_majority,54,0.7397260273972602
201,Fuldaer Zeitung,Germany_majority,83,1.0,Fuldaer Zeitung,Peaceful_protest_majority,77,0.927710843373494
202,Diario El Dia,Argentina_majority,169,1.0,Diario El Dia,Peaceful_protest_majority,158,0.9349112426035503
203,La Republique du Centre,France_majority,23,1.0,La Republique du Centre,Peaceful_protest_majority,23,1.0
204,Le Dauphine,France_majority,221,1.0,Le Dauphine,Peaceful_protest_majority,211,0.9547511312217195
205,RNZ,New_Zealand_majority,42,0.75,RNZ,Peaceful_protest_majority,42,0.75
206,Chosun Ilbo,South_Korea_majority,74,1.0,Chosun Ilbo,Peaceful_protest_majority,68,0.918918918918919
207,La Voz De Galicia,Spain_majority,137,0.9927536231884058,La Voz De Galicia,Peaceful_protest_majority,137,0.9927536231884058
208,La Voz del Interior (Argentina),Argentina_majority,30,1.0,La Voz del Interior (Argentina),Peaceful_protest_majority,27,0.9
209,Liberty Times,Taiwan_majority,47,1.0,Liberty Times,Peaceful_protest_majority,45,0.9574468085106383
210,News.ro,Romania_majority,75,1.0,News.ro,Peaceful_protest_majority,55,0.7333333333333333
211,Haber 7,Turkey_majority,24,1.0,Haber 7,Change_to_group_activity_majority,22,0.9166666666666666
212,Asian News International,India_majority,196,0.9333333333333333,Asian News International,Peaceful_protest_majority,147,0.7
213,Polizei Sachsen,Germany_majority,382,1.0,Polizei Sachsen,Peaceful_protest_majority,366,0.9581151832460733
214,Midi Libre,France_majority,83,1.0,Midi Libre,Peaceful_protest_majority,78,0.9397590361445783
215,Greater Jammu,India_majority,16,1.0,Greater Jammu,Peaceful_protest_majority,13,0.8125
216,UDN,Taiwan_majority,14,1.0,UDN,Peaceful_protest_majority,14,1.0
217,Entorno Informativo,Mexico_majority,33,1.0,Entorno Informativo,Peaceful_protest_majority,29,0.8787878787878788
218,MilitiaWatch,United_States_majority,124,1.0,MilitiaWatch,Peaceful_protest_majority,100,0.8064516129032258
219,Assam Tribune,India_majority,72,1.0,Assam Tribune,Peaceful_protest_majority,57,0.7916666666666666
220,ABC7 (San Francisco),United_States_majority,23,1.0,ABC7 (San Francisco),Peaceful_protest_majority,21,0.9130434782608695
221,Kashmir Images,India_majority,11,1.0,Kashmir Images,Peaceful_protest_majority,8,0.7272727272727273
222,La Prensa (Honduras),Honduras_majority,61,1.0,La Prensa (Honduras),Peaceful_protest_majority,49,0.8032786885245902
223,Rheinpfalz,Germany_majority,186,1.0,Rheinpfalz,Peaceful_protest_majority,182,0.978494623655914
224,Swr,Germany_majority,108,1.0,Swr,Peaceful_protest_majority,97,0.8981481481481481
225,Rise and Resist NY,United_States_majority,11,1.0,Rise and Resist NY,Peaceful_protest_majority,11,1.0
226,El Impulso,Venezuela_majority,54,1.0,El Impulso,Peaceful_protest_majority,54,1.0
227,ET Today,Taiwan_majority,13,1.0,ET Today,Peaceful_protest_majority,10,0.7692307692307693
228,ABC Color,Paraguay_majority,345,0.9885386819484241,ABC Color,Peaceful_protest_majority,318,0.9111747851002865
229,JoongAng Ilbo,South_Korea_majority,92,0.9787234042553191,JoongAng Ilbo,Peaceful_protest_majority,85,0.9042553191489362
230,Korea Economic Daily,South_Korea_majority,47,0.9791666666666666,Korea Economic Daily,Peaceful_protest_majority,43,0.8958333333333334
231,Rhein-Neckar-Zeitung,Germany_majority,119,1.0,Rhein-Neckar-Zeitung,Peaceful_protest_majority,114,0.957983193277311
232,Haberler,Turkey_majority,90,1.0,Haberler,Change_to_group_activity_majority,56,0.6222222222222222
233,Northeast Now,India_majority,86,1.0,Northeast Now,Peaceful_protest_majority,76,0.8837209302325582
234,MSN News,United_States_majority,9,0.9,MSN News,Peaceful_protest_majority,10,1.0
235,La Nacion (Argentina),Argentina_majority,474,0.9957983193277311,La Nacion (Argentina),Peaceful_protest_majority,446,0.9369747899159664
236,Il Mattino,Italy_majority,10,1.0,Il Mattino,Peaceful_protest_majority,10,1.0
237,Umbria24,Italy_majority,75,1.0,Umbria24,Peaceful_protest_majority,74,0.9866666666666667
238,RIAS,Germany_majority,232,1.0,RIAS,Peaceful_protest_majority,219,0.9439655172413793
239,L'Echo Republicain,France_majority,32,1.0,L'Echo Republicain,Peaceful_protest_majority,32,1.0
240,L'Yonne,France_majority,37,1.0,L'Yonne,Peaceful_protest_majority,37,1.0
241,La Provence,France_majority,47,0.9791666666666666,La Provence,Peaceful_protest_majority,45,0.9375
242,Revolution Permanente,France_majority,36,0.972972972972973,Revolution Permanente,Peaceful_protest_majority,26,0.7027027027027027
243,Newsweek,United_States_majority,21,1.0,Newsweek,Peaceful_protest_majority,16,0.7619047619047619
244,Padova Oggi,Italy_majority,67,1.0,Padova Oggi,Peaceful_protest_majority,66,0.9850746268656716
245,Kent Online,United_Kingdom_majority,15,1.0,Kent Online,Peaceful_protest_majority,12,0.8
246,Centre Presse,France_majority,29,1.0,Centre Presse,Peaceful_protest_majority,29,1.0
247,Segye Ilbo,South_Korea_majority,138,0.9928057553956835,Segye Ilbo,Peaceful_protest_majority,133,0.9568345323741008
248,Newsday Trinidad and Tobago,Trinidad_and_Tobago_majority,15,1.0,Newsday Trinidad and Tobago,Peaceful_protest_majority,11,0.7333333333333333
249,L'Est Republicain,France_majority,112,1.0,L'Est Republicain,Peaceful_protest_majority,106,0.9464285714285714
250,La Marseillaise,France_majority,35,1.0,La Marseillaise,Peaceful_protest_majority,34,0.9714285714285714
251,La Montagne,France_majority,89,1.0,La Montagne,Peaceful_protest_majority,87,0.9775280898876404
252,La Republique des Pyrenees,France_majority,46,1.0,La Republique des Pyrenees,Peaceful_protest_majority,43,0.9347826086956522
253,La Voix Du Nord,France_majority,110,1.0,La Voix Du Nord,Peaceful_protest_majority,106,0.9636363636363636
