,source_singular_main,source_singular,country,country_total,country_pct,source_singular,sub_event_type,sub_event_type_total,sub_event_type_pct
30,Radiodresden,Radiodresden,Germany_majority,238.0,1.0,,,,
31,TLZ,TLZ,Germany_majority,94.0,1.0,,,,
32,Sachsische Zeitung,Sachsische Zeitung,Germany_majority,60.0,1.0,Sachsische Zeitung,Peaceful_protest_majority,52.0,0.8666666666666667
33,Channel 2 (Buffalo),Channel 2 (Buffalo),United_States_majority,17.0,1.0,Channel 2 (Buffalo),Peaceful_protest_majority,16.0,0.9411764705882353
34,Edmonton Sun,Edmonton Sun,Canada_majority,11.0,1.0,Edmonton Sun,Peaceful_protest_majority,8.0,0.7272727272727273
35,Edmonton Journal,Edmonton Journal,Canada_majority,32.0,1.0,,,,
36,CBC,,,,,,,,
37,CTV News,,,,,,,,
38,Calgary Herald,Calgary Herald,Canada_majority,43.0,1.0,Calgary Herald,Peaceful_protest_majority,35.0,0.813953488372093
39,Pakistan Press International,,,,,Pakistan Press International,Peaceful_protest_majority,26.0,0.7878787878787878
40,Indian Express,Indian Express,India_majority,192.0,1.0,,,,
41,Times of India,,,,,,,,
42,Tibetan Review,Tibetan Review,China_majority,3.0,1.0,,,,
43,Radio Free Asia,,,,,,,,
44,Ponte Jornalismo,Ponte Jornalismo,Brazil_majority,12.0,1.0,,,,
45,Mitteldeutschen Zeitung,Mitteldeutschen Zeitung,Germany_majority,120.0,1.0,,,,
46,Tagesschau,Tagesschau,Germany_majority,28.0,1.0,Tagesschau,Peaceful_protest_majority,20.0,0.7142857142857143
47,New York Post,New York Post,United_States_majority,61.0,1.0,New York Post,Peaceful_protest_majority,51.0,0.8360655737704918
48,RTV Rijnmond,RTV Rijnmond,Netherlands_majority,22.0,1.0,,,,
49,Telegraph (India),Telegraph (India),India_majority,179.0,1.0,,,,
50,Le Figaro,Le Figaro,France_majority,23.0,1.0,Le Figaro,Peaceful_protest_majority,18.0,0.782608695652174
51,NEWSIS,,,,,,,,
52,No Cut News,No Cut News,South_Korea_majority,122.0,0.991869918699187,,,,
53,Al Dia News,Al Dia News,United_States_majority,3.0,1.0,,,,
54,MAIN-POST,MAIN-POST,Germany_majority,133.0,1.0,,,,
55,Vicenza Today,Vicenza Today,Italy_majority,39.0,1.0,Vicenza Today,Peaceful_protest_majority,39.0,1.0
56,AP,,,,,,,,
57,Diario Extra,Diario Extra,Costa_Rica_majority,38.0,1.0,Diario Extra,Peaceful_protest_majority,33.0,0.868421052631579
58,La Republica (Peru),,,,,,,,
59,China Times,China Times,Taiwan_majority,10.0,1.0,China Times,Peaceful_protest_majority,9.0,0.9
60,Voice of Tibet,Voice of Tibet,China_majority,5.0,1.0,,,,
61,Epoch Times,,,,,Epoch Times,Peaceful_protest_majority,21.0,0.875
62,Torino Today,Torino Today,Italy_majority,105.0,1.0,,,,
63,Merkur,,,,,,,,
64,Bayerischer Rundfunk,Bayerischer Rundfunk,Germany_majority,25.0,1.0,Bayerischer Rundfunk,Peaceful_protest_majority,21.0,0.84
65,Connecticut Post,Connecticut Post,United_States_majority,9.0,1.0,Connecticut Post,Peaceful_protest_majority,9.0,1.0
66,Indypendent,Indypendent,United_States_majority,29.0,1.0,Indypendent,Peaceful_protest_majority,26.0,0.896551724137931
67,Twitter,,,,,,,,
68,Network Contagion Research Institute,Network Contagion Research Institute,United_States_majority,120.0,1.0,,,,
69,Kallxo,,,,,,,,
70,WBZ NewsRadio,WBZ NewsRadio,United_States_majority,4.0,1.0,,,,
71,Boston Herald,Boston Herald,United_States_majority,19.0,1.0,Boston Herald,Peaceful_protest_majority,18.0,0.9473684210526315
72,Dawn (Pakistan),Dawn (Pakistan),Pakistan_majority,166.0,1.0,,,,
73,Castelli News,Castelli News,Italy_majority,49.0,1.0,Castelli News,Peaceful_protest_majority,48.0,0.9795918367346939
74,Blueprint,Blueprint,Nigeria_majority,16.0,1.0,,,,
75,Nigeria Punch,Nigeria Punch,Nigeria_majority,52.0,1.0,,,,
76,Corriere Romagna,Corriere Romagna,Italy_majority,79.0,1.0,Corriere Romagna,Peaceful_protest_majority,79.0,1.0
77,KSTA - Kolner Stadt-Anzeiger,KSTA - Kolner Stadt-Anzeiger,Germany_majority,116.0,1.0,,,,
78,News12 (Bronx),News12 (Bronx),United_States_majority,20.0,1.0,News12 (Bronx),Peaceful_protest_majority,19.0,0.95
79,Siliguri Times,Siliguri Times,India_majority,238.0,1.0,,,,
80,La Patilla,La Patilla,Venezuela_majority,44.0,1.0,La Patilla,Peaceful_protest_majority,39.0,0.8863636363636364
81,Manila Standard,Manila Standard,Philippines_majority,15.0,1.0,,,,
82,Le Progres,Le Progres,France_majority,187.0,1.0,,,,
83,RTE,RTE,Ireland_majority,14.0,0.9333333333333333,RTE,Peaceful_protest_majority,14.0,0.9333333333333333
84,Inmediahk.net,Inmediahk.net,China_majority,109.0,1.0,,,,
85,Berliner Zeitung,Berliner Zeitung,Germany_majority,103.0,0.9716981132075472,,,,
86,General Anzeiger,General Anzeiger,Germany_majority,63.0,1.0,General Anzeiger,Peaceful_protest_majority,57.0,0.9047619047619048
87,Hannoversche Allgemeine,Hannoversche Allgemeine,Germany_majority,26.0,1.0,Hannoversche Allgemeine,Peaceful_protest_majority,23.0,0.8846153846153846
88,Le Telegramme,,,,,,,,
89,Nochrichten,Nochrichten,Austria_majority,26.0,1.0,,,,
90,Brindisi Report,Brindisi Report,Italy_majority,13.0,1.0,Brindisi Report,Peaceful_protest_majority,11.0,0.8461538461538461
91,Imagen del Golfo,Imagen del Golfo,Mexico_majority,72.0,1.0,Imagen del Golfo,Peaceful_protest_majority,62.0,0.8611111111111112
92,Manila Bulletin,Manila Bulletin,Philippines_majority,84.0,1.0,,,,
93,CNA,,,,,CNA,Peaceful_protest_majority,12.0,0.8
94,G1,,,,,,,,
95,HK01,HK01,China_majority,100.0,1.0,,,,
96,Los Angeles Times,Los Angeles Times,United_States_majority,61.0,1.0,Los Angeles Times,Peaceful_protest_majority,43.0,0.7049180327868853
97,KTLA5,KTLA5,United_States_majority,42.0,1.0,KTLA5,Peaceful_protest_majority,32.0,0.7619047619047619
98,CR Hoy,CR Hoy,Costa_Rica_majority,20.0,0.9090909090909091,CR Hoy,Peaceful_protest_majority,19.0,0.8636363636363636
99,Winnipeg Free Press,Winnipeg Free Press,Canada_majority,23.0,1.0,Winnipeg Free Press,Peaceful_protest_majority,20.0,0.8695652173913043
100,APTN (Canada),APTN (Canada),Canada_majority,5.0,1.0,APTN (Canada),Peaceful_protest_majority,4.0,0.8
101,Montreal Gazette,Montreal Gazette,Canada_majority,42.0,1.0,Montreal Gazette,Peaceful_protest_majority,32.0,0.7619047619047619
102,Le Devoir,Le Devoir,Canada_majority,23.0,1.0,Le Devoir,Peaceful_protest_majority,17.0,0.7391304347826086
103,La Presse (Canada),La Presse (Canada),Canada_majority,77.0,1.0,La Presse (Canada),Peaceful_protest_majority,58.0,0.7532467532467533
104,Bristolpost,Bristolpost,United_Kingdom_majority,20.0,1.0,Bristolpost,Peaceful_protest_majority,19.0,0.95
105,Sud Ouest,,,,,,,,
106,Daily Excelsior,,,,,,,,
107,WBNG12,WBNG12,United_States_majority,5.0,1.0,WBNG12,Peaceful_protest_majority,5.0,1.0
108,Kookje Shinmun,Kookje Shinmun,South_Korea_majority,40.0,1.0,Kookje Shinmun,Peaceful_protest_majority,40.0,1.0
109,Hamburger Abendblatt,Hamburger Abendblatt,Germany_majority,98.0,1.0,,,,
110,Dresdner Neueste Nachrichten,Dresdner Neueste Nachrichten,Germany_majority,84.0,1.0,,,,
111,Ostsee Zeitung,Ostsee Zeitung,Germany_majority,61.0,1.0,Ostsee Zeitung,Peaceful_protest_majority,59.0,0.9672131147540983
112,Kantipur,Kantipur,Nepal_majority,85.0,1.0,,,,
113,Westdeutsche Allgemeine Zeitung,Westdeutsche Allgemeine Zeitung,Germany_majority,64.0,0.9846153846153847,Westdeutsche Allgemeine Zeitung,Peaceful_protest_majority,62.0,0.9538461538461539
114,Westfalen Post,Westfalen Post,Germany_majority,25.0,1.0,Westfalen Post,Peaceful_protest_majority,23.0,0.92
115,Saarbruecker Zeitung,Saarbruecker Zeitung,Germany_majority,63.0,0.984375,Saarbruecker Zeitung,Peaceful_protest_majority,59.0,0.921875
116,Donau Kurier,Donau Kurier,Germany_majority,110.0,1.0,,,,
117,Matichon,Matichon,Thailand_majority,77.0,1.0,Matichon,Peaceful_protest_majority,73.0,0.948051948051948
118,CRLW,CRLW,China_majority,41.0,1.0,,,,
119,YNA,,,,,,,,
120,Trmtv,Trmtv,Italy_majority,59.0,1.0,Trmtv,Peaceful_protest_majority,59.0,1.0
121,TriestePrima,TriestePrima,Italy_majority,68.0,1.0,TriestePrima,Peaceful_protest_majority,59.0,0.8676470588235294
122,Free Press Journal (India),Free Press Journal (India),India_majority,85.0,1.0,,,,
123,World Socialist Web Site,,,,,World Socialist Web Site,Peaceful_protest_majority,7.0,1.0
124,Il Quotidiano Del Sud,Il Quotidiano Del Sud,Italy_majority,56.0,1.0,Il Quotidiano Del Sud,Peaceful_protest_majority,54.0,0.9642857142857143
125,Redattore Sociale,,,,,Redattore Sociale,Peaceful_protest_majority,9.0,1.0
126,Diario Primicia,Diario Primicia,Venezuela_majority,18.0,1.0,Diario Primicia,Peaceful_protest_majority,16.0,0.8888888888888888
127,EDaily,EDaily,South_Korea_majority,131.0,0.9924242424242424,,,,
128,France Bleu,,,,,,,,
129,CBS News,CBS News,United_States_majority,11.0,1.0,CBS News,Peaceful_protest_majority,9.0,0.8181818181818182
130,Chicago Tribune,Chicago Tribune,United_States_majority,27.0,1.0,Chicago Tribune,Peaceful_protest_majority,26.0,0.9629629629629629
131,Mitteldeutscher Rundfunk,Mitteldeutscher Rundfunk,Germany_majority,7.0,1.0,Mitteldeutscher Rundfunk,Peaceful_protest_majority,5.0,0.7142857142857143
132,News1,,,,,,,,
133,YTN,YTN,South_Korea_majority,164.0,1.0,,,,
134,Heute - Osterreichs Neue Tageszeitung,Heute - Osterreichs Neue Tageszeitung,Austria_majority,95.0,0.9895833333333334,,,,
135,Le Mauricien,Le Mauricien,Mauritius_majority,21.0,1.0,Le Mauricien,Peaceful_protest_majority,20.0,0.9523809523809523
136,L'Express (Mauritius),L'Express (Mauritius),Mauritius_majority,7.0,1.0,L'Express (Mauritius),Peaceful_protest_majority,5.0,0.7142857142857143
137,Defi Media,Defi Media,Mauritius_majority,16.0,1.0,Defi Media,Peaceful_protest_majority,14.0,0.875
138,WNPR,WNPR,United_States_majority,4.0,1.0,,,,
139,Philippine Daily Inquirer,Philippine Daily Inquirer,Philippines_majority,69.0,1.0,,,,
140,El Pais (Honduras),El Pais (Honduras),Honduras_majority,36.0,1.0,El Pais (Honduras),Peaceful_protest_majority,35.0,0.9722222222222222
141,El Heraldo (Honduras),El Heraldo (Honduras),Honduras_majority,49.0,1.0,El Heraldo (Honduras),Peaceful_protest_majority,39.0,0.7959183673469388
142,Outlook (India),Outlook (India),India_majority,7.0,1.0,Outlook (India),Peaceful_protest_majority,5.0,0.7142857142857143
143,Plymouth Herald,Plymouth Herald,United_Kingdom_majority,6.0,1.0,Plymouth Herald,Peaceful_protest_majority,5.0,0.8333333333333334
144,Berliner Morgenpost,Berliner Morgenpost,Germany_majority,101.0,1.0,,,,
145,Markische Allgemeine,Markische Allgemeine,Germany_majority,54.0,1.0,Markische Allgemeine,Peaceful_protest_majority,53.0,0.9814814814814815
146,AT 5,AT 5,Netherlands_majority,41.0,1.0,,,,
147,Kolnische Rundschau,Kolnische Rundschau,Germany_majority,87.0,1.0,,,,
148,Actu,,,,,,,,
149,TVP,TVP,Poland_majority,4.0,1.0,,,,
150,Hessische Niedersachsische Allgemeine,Hessische Niedersachsische Allgemeine,Germany_majority,162.0,1.0,,,,
151,National News Agency Lebanon,National News Agency Lebanon,Lebanon_majority,25.0,1.0,National News Agency Lebanon,Peaceful_protest_majority,21.0,0.84
152,Karar,Karar,Turkey_majority,30.0,1.0,Karar,Change_to_group_activity_majority,24.0,0.8
153,Anadolu Agency,,,,,,,,
154,New Zealand Herald,New Zealand Herald,New_Zealand_majority,73.0,1.0,New Zealand Herald,Peaceful_protest_majority,56.0,0.7671232876712328
155,Hiba Press,Hiba Press,Morocco_majority,28.0,1.0,Hiba Press,Peaceful_protest_majority,22.0,0.7857142857142857
156,Cyprus Mail,Cyprus Mail,Cyprus_majority,28.0,1.0,Cyprus Mail,Peaceful_protest_majority,26.0,0.9285714285714286
157,Roya News,,,,,,,,
158,Diario de Morelos,Diario de Morelos,Mexico_majority,17.0,1.0,Diario de Morelos,Peaceful_protest_majority,15.0,0.8823529411764706
159,Fox News,Fox News,United_States_majority,10.0,1.0,,,,
160,Sentinel (India),Sentinel (India),India_majority,153.0,1.0,,,,
161,Sudwest Presse,Sudwest Presse,Germany_majority,130.0,1.0,,,,
162,Waterloo Region Record,Waterloo Region Record,Canada_majority,28.0,1.0,Waterloo Region Record,Peaceful_protest_majority,27.0,0.9642857142857143
163,CP24,CP24,Canada_majority,17.0,1.0,CP24,Peaceful_protest_majority,12.0,0.7058823529411765
164,CITY News,,,,,CITY News,Peaceful_protest_majority,7.0,0.7777777777777778
165,Global News (Canada),Global News (Canada),Canada_majority,79.0,1.0,Global News (Canada),Peaceful_protest_majority,67.0,0.8481012658227848
166,Correo del Sur,Correo del Sur,Bolivia_majority,170.0,1.0,,,,
167,La Region (Peru),La Region (Peru),Peru_majority,20.0,1.0,La Region (Peru),Peaceful_protest_majority,18.0,0.9
168,Janakpur Today,Janakpur Today,Nepal_majority,19.0,1.0,Janakpur Today,Peaceful_protest_majority,16.0,0.8421052631578947
169,News12 (Brooklyn),News12 (Brooklyn),United_States_majority,14.0,1.0,News12 (Brooklyn),Peaceful_protest_majority,14.0,1.0
170,Telegraph-Journal (Canada),Telegraph-Journal (Canada),Canada_majority,24.0,1.0,Telegraph-Journal (Canada),Peaceful_protest_majority,18.0,0.75
171,El Sol de Sinaloa,El Sol de Sinaloa,Mexico_majority,25.0,1.0,El Sol de Sinaloa,Peaceful_protest_majority,23.0,0.92
172,Ancona Today,Ancona Today,Italy_majority,41.0,1.0,Ancona Today,Peaceful_protest_majority,41.0,1.0
173,Bulatlat,Bulatlat,Philippines_majority,34.0,1.0,,,,
174,Biobio Chile,,,,,,,,
175,Lider San Antonio,Lider San Antonio,Chile_majority,33.0,1.0,,,,
176,KDKA2,KDKA2,United_States_majority,21.0,1.0,KDKA2,Peaceful_protest_majority,20.0,0.9523809523809523
177,La Tribuna (Honduras),La Tribuna (Honduras),Honduras_majority,113.0,1.0,,,,
178,Loop News Saint Vincent and the Grenadines,,,,,,,,
179,Mercurio Antofagasta,Mercurio Antofagasta,Chile_majority,14.0,1.0,,,,
180,A Haber,A Haber,Turkey_majority,11.0,1.0,A Haber,Change_to_group_activity_majority,9.0,0.8181818181818182
181,Aydinlik,Aydinlik,Turkey_majority,14.0,1.0,Aydinlik,Change_to_group_activity_majority,13.0,0.9285714285714286
182,AKIpress,AKIpress,Kyrgyzstan_majority,13.0,1.0,,,,
183,Los Angeles Daily News,Los Angeles Daily News,United_States_majority,27.0,1.0,Los Angeles Daily News,Peaceful_protest_majority,27.0,1.0
184,Inforpress,,,,,,,,
185,Yahoo News Taiwan,Yahoo News Taiwan,Taiwan_majority,4.0,1.0,,,,
186,Prateek Daily,Prateek Daily,Nepal_majority,51.0,1.0,,,,
187,Helmstedter Nachrichten,Helmstedter Nachrichten,Germany_majority,10.0,1.0,Helmstedter Nachrichten,Peaceful_protest_majority,9.0,0.9
188,Windsor Star,Windsor Star,Canada_majority,41.0,1.0,Windsor Star,Peaceful_protest_majority,35.0,0.8536585365853658
189,Free Tibet,,,,,,,,
190,Gilets Jaunes,Gilets Jaunes,France_majority,14.0,1.0,Gilets Jaunes,Peaceful_protest_majority,14.0,1.0
191,Daily Kos,,,,,Daily Kos,Peaceful_protest_majority,6.0,0.8571428571428571
192,Toronto Star,Toronto Star,Canada_majority,80.0,1.0,Toronto Star,Peaceful_protest_majority,61.0,0.7625
193,Daily Hive,Daily Hive,Canada_majority,34.0,1.0,Daily Hive,Peaceful_protest_majority,30.0,0.8823529411764706
194,Hamilton Spectator,Hamilton Spectator,Canada_majority,25.0,1.0,Hamilton Spectator,Peaceful_protest_majority,22.0,0.88
195,Vice,,,,,,,,
196,Kodao Productions,Kodao Productions,Philippines_majority,4.0,1.0,,,,
197,Undisclosed Source,,,,,,,,
198,Bologna Today,Bologna Today,Italy_majority,154.0,1.0,,,,
199,GroundUp,GroundUp,South_Africa_majority,96.0,1.0,,,,
200,La Razon (Bolivia),,,,,,,,
201,Channel 31,Channel 31,Kazakhstan_majority,90.0,1.0,,,,
202,Prensa Comunitaria,Prensa Comunitaria,Guatemala_majority,23.0,1.0,Prensa Comunitaria,Peaceful_protest_majority,17.0,0.7391304347826086
203,Hindustan Times,,,,,,,,
204,Pioneer (India),Pioneer (India),India_majority,106.0,1.0,,,,
205,Diario Correo (Peru),,,,,,,,
206,RTHK,RTHK,China_majority,44.0,1.0,RTHK,Peaceful_protest_majority,34.0,0.7727272727272727
207,Clarksdale Press Register,,,,,,,,
208,RTV Noord,RTV Noord,Netherlands_majority,13.0,1.0,RTV Noord,Peaceful_protest_majority,10.0,0.7692307692307693
209,NBC4 New York,NBC4 New York,United_States_majority,4.0,1.0,,,,
210,Sunday Star-Times,Sunday Star-Times,New_Zealand_majority,5.0,1.0,Sunday Star-Times,Peaceful_protest_majority,4.0,0.8
211,Youtube,,,,,,,,
212,Citizens' Voice,Citizens' Voice,United_States_majority,4.0,1.0,,,,
213,WNEP-TV16,WNEP-TV16,United_States_majority,6.0,1.0,WNEP-TV16,Peaceful_protest_majority,6.0,1.0
214,Times Leader,,,,,,,,
215,Ihlas News Agency,Ihlas News Agency,Turkey_majority,39.0,1.0,,,,
216,El Pais (Uruguay),El Pais (Uruguay),Uruguay_majority,10.0,0.9090909090909091,El Pais (Uruguay),Peaceful_protest_majority,10.0,0.9090909090909091
217,WHAS11,WHAS11,United_States_majority,7.0,1.0,WHAS11,Peaceful_protest_majority,7.0,1.0
218,WDRB,WDRB,United_States_majority,12.0,1.0,WDRB,Peaceful_protest_majority,11.0,0.9166666666666666
219,Kleine Zeitung,Kleine Zeitung,Austria_majority,30.0,0.967741935483871,Kleine Zeitung,Peaceful_protest_majority,24.0,0.7741935483870968
220,Radio Osterreich 1,Radio Osterreich 1,Austria_majority,193.0,0.9846938775510204,,,,
221,Krone,Krone,Austria_majority,111.0,0.9327731092436975,,,,
222,Venezia Today,Venezia Today,Italy_majority,88.0,1.0,,,,
223,Haderi Ha Haredeem,,,,,Haderi Ha Haredeem,Mob_violence_majority,10.0,0.7142857142857143
224,Israel Hayom,Israel Hayom,Israel_majority,10.0,1.0,,,,
225,Dongyang Ilbo,Dongyang Ilbo,South_Korea_majority,18.0,1.0,Dongyang Ilbo,Peaceful_protest_majority,16.0,0.8888888888888888
226,Kosova Press,Kosova Press,Kosovo_majority,7.0,1.0,Kosova Press,Peaceful_protest_majority,7.0,1.0
227,CLB (China),CLB (China),China_majority,38.0,1.0,CLB (China),Peaceful_protest_majority,34.0,0.8947368421052632
228,Zuunii Medee,,,,,,,,
229,Ziarul de Iasi,Ziarul de Iasi,Romania_majority,40.0,1.0,Ziarul de Iasi,Peaceful_protest_majority,30.0,0.75
230,Hankyoreh,Hankyoreh,South_Korea_majority,97.0,1.0,,,,
231,Sambad English (India),Sambad English (India),India_majority,6.0,1.0,,,,
232,New Indian Express,New Indian Express,India_majority,130.0,1.0,,,,
233,Chandigarh Tribune,,,,,,,,
234,HCH,HCH,Honduras_majority,45.0,1.0,HCH,Peaceful_protest_majority,40.0,0.8888888888888888
235,Sunstar (Philippines),Sunstar (Philippines),Philippines_majority,36.0,1.0,,,,
236,Cebu Daily News,Cebu Daily News,Philippines_majority,16.0,1.0,,,,
237,Noroeste,Noroeste,Mexico_majority,28.0,1.0,Noroeste,Peaceful_protest_majority,28.0,1.0
238,De Telegraaf,De Telegraaf,Netherlands_majority,69.0,1.0,,,,
239,MBK Media,MBK Media,Russia_majority,18.0,1.0,,,,
240,RFE/RL,,,,,,,,
241,News 12,News 12,United_States_majority,15.0,1.0,News 12,Peaceful_protest_majority,14.0,0.9333333333333333
242,ABC7 (New York),ABC7 (New York),United_States_majority,38.0,1.0,ABC7 (New York),Peaceful_protest_majority,35.0,0.9210526315789473
243,Anti-Defamation League,Anti-Defamation League,United_States_majority,28.0,1.0,Anti-Defamation League,Other_majority,25.0,0.8928571428571429
244,Jewish News Syndicate,,,,,,,,
245,24Kg,24Kg,Kyrgyzstan_majority,5.0,1.0,,,,
246,Asia Press,Asia Press,North_Korea_majority,4.0,1.0,,,,
247,Waterkant,Waterkant,Suriname_majority,13.0,1.0,,,,
248,Suriname Herald,Suriname Herald,Suriname_majority,9.0,1.0,,,,
249,FNN,FNN,Japan_majority,21.0,1.0,FNN,Peaceful_protest_majority,16.0,0.7619047619047619
250,Dinesh Khabar,,,,,,,,
251,KWCH12,KWCH12,United_States_majority,8.0,1.0,KWCH12,Peaceful_protest_majority,7.0,0.875
252,Northern Advocate,Northern Advocate,New_Zealand_majority,9.0,1.0,Northern Advocate,Peaceful_protest_majority,7.0,0.7777777777777778
253,L'Adige,L'Adige,Italy_majority,126.0,1.0,,,,
254,SaveCalifornia.com,SaveCalifornia.com,United_States_majority,6.0,1.0,SaveCalifornia.com,Peaceful_protest_majority,6.0,1.0
255,Fox11 (Los Angeles),Fox11 (Los Angeles),United_States_majority,18.0,1.0,Fox11 (Los Angeles),Peaceful_protest_majority,17.0,0.9444444444444444
256,NBC4 Southern California,NBC4 Southern California,United_States_majority,7.0,1.0,NBC4 Southern California,Peaceful_protest_majority,5.0,0.7142857142857143
257,La Manche Libre,La Manche Libre,France_majority,20.0,1.0,La Manche Libre,Peaceful_protest_majority,20.0,1.0
258,Daily News (South Africa),Daily News (South Africa),South_Africa_majority,7.0,1.0,,,,
259,Kreiszeitung,Kreiszeitung,Germany_majority,101.0,1.0,,,,
260,New York Times,,,,,,,,
261,Orissa TV,Orissa TV,India_majority,74.0,1.0,Orissa TV,Peaceful_protest_majority,57.0,0.7702702702702703
262,Il Pescara,Il Pescara,Italy_majority,74.0,1.0,Il Pescara,Peaceful_protest_majority,74.0,1.0
263,France24,,,,,France24,Peaceful_protest_majority,10.0,0.7142857142857143
264,Iran Kargar,Iran Kargar,Iran_majority,90.0,1.0,,,,
265,Eteraze Bazar,Eteraze Bazar,Iran_majority,55.0,1.0,Eteraze Bazar,Peaceful_protest_majority,53.0,0.9636363636363636
266,Free Union of Iranian Workers,Free Union of Iranian Workers,Iran_majority,130.0,1.0,,,,
267,Annapurna Post,Annapurna Post,Nepal_majority,81.0,1.0,,,,
268,The Hindu,,,,,,,,
269,Ruhrnachrichten,Ruhrnachrichten,Germany_majority,75.0,1.0,Ruhrnachrichten,Peaceful_protest_majority,67.0,0.8933333333333333
270,Cerveaux Non Disponibles,Cerveaux Non Disponibles,France_majority,61.0,0.953125,Cerveaux Non Disponibles,Peaceful_protest_majority,51.0,0.796875
271,Le Poing,Le Poing,France_majority,7.0,1.0,Le Poing,Peaceful_protest_majority,6.0,0.8571428571428571
272,FTV,FTV,Taiwan_majority,25.0,1.0,FTV,Peaceful_protest_majority,23.0,0.92
273,Diario de Chimbote (Peru),Diario de Chimbote (Peru),Peru_majority,14.0,1.0,Diario de Chimbote (Peru),Peaceful_protest_majority,14.0,1.0
274,AMNA,AMNA,Greece_majority,153.0,1.0,,,,
275,DC News Now,,,,,,,,
276,Redheaded Blackbelt,Redheaded Blackbelt,United_States_majority,10.0,1.0,Redheaded Blackbelt,Peaceful_protest_majority,9.0,0.9
277,Hoy Tamaulipas,Hoy Tamaulipas,Mexico_majority,70.0,1.0,Hoy Tamaulipas,Peaceful_protest_majority,65.0,0.9285714285714286
278,El Observador,El Observador,Uruguay_majority,14.0,1.0,El Observador,Peaceful_protest_majority,11.0,0.7857142857142857
279,Seoul Shinmun,Seoul Shinmun,South_Korea_majority,143.0,0.9930555555555556,,,,
280,El Faro De Ceuta,El Faro De Ceuta,Spain_majority,18.0,1.0,El Faro De Ceuta,Peaceful_protest_majority,17.0,0.9444444444444444
281,Washingtonian,Washingtonian,United_States_majority,4.0,1.0,,,,
282,Milenio,,,,,,,,
283,Kompas,Kompas,Indonesia_majority,168.0,1.0,,,,
284,Cumhuriyet,Cumhuriyet,Turkey_majority,39.0,1.0,,,,
285,Omroep Brabant,Omroep Brabant,Netherlands_majority,36.0,1.0,,,,
286,1 News,1 News,New_Zealand_majority,5.0,1.0,1 News,Peaceful_protest_majority,4.0,0.8
287,Global Times (China),Global Times (China),China_majority,3.0,1.0,,,,
288,La Depeche,,,,,,,,
289,National Post (Canada),,,,,,,,
290,Ottawa Citizen,Ottawa Citizen,Canada_majority,52.0,1.0,Ottawa Citizen,Peaceful_protest_majority,40.0,0.7692307692307693
291,Journal Metro,Journal Metro,Canada_majority,21.0,1.0,,,,
292,Ratopati,Ratopati,Nepal_majority,107.0,1.0,,,,
293,La Silla Rota,La Silla Rota,Mexico_majority,188.0,1.0,,,,
294,Diario Via Libre,Diario Via Libre,Mexico_majority,6.0,1.0,Diario Via Libre,Peaceful_protest_majority,5.0,0.8333333333333334
