,source_singular,country,country_pct,country_total,sub_event_type,sub_event_type_pct,sub_event_type_total
184,Inforpress,,,,,,
185,Yahoo News Taiwan,,,,,,
186,Prateek Daily,,,,,,
187,Helmstedter Nachrichten,Germany_majority,1.0,10.0,Peaceful_protest_majority,0.9,9.0
188,Windsor Star,Canada_majority,1.0,41.0,Peaceful_protest_majority,0.8536585365853658,35.0
189,Free Tibet,,,,,,
190,Gilets Jaunes,France_majority,1.0,14.0,Peaceful_protest_majority,1.0,14.0
191,Daily Hive,Canada_majority,1.0,34.0,Peaceful_protest_majority,0.8823529411764706,30.0
192,Daily Kos,,,,,,
193,Hamilton Spectator,Canada_majority,1.0,25.0,Peaceful_protest_majority,0.88,22.0
194,Toronto Star,Canada_majority,1.0,80.0,Peaceful_protest_majority,0.7625,61.0
195,Vice,,,,,,
196,Kodao Productions,,,,,,
197,Undisclosed Source,,,,,,
198,Bologna Today,,,,,,
199,GroundUp,,,,,,
200,La Razon (Bolivia),,,,,,
201,Channel 31,,,,,,
202,Prensa Comunitaria,Guatemala_majority,1.0,23.0,Peaceful_protest_majority,0.7391304347826086,17.0
203,Hindustan Times,,,,,,
204,Pioneer (India),,,,,,
205,Diario Correo (Peru),,,,,,
206,RTHK,China_majority,1.0,44.0,Peaceful_protest_majority,0.7727272727272727,34.0
207,Clarksdale Press Register,,,,,,
208,RTV Noord,Netherlands_majority,1.0,13.0,Peaceful_protest_majority,0.7692307692307693,10.0
209,NBC4 New York,,,,,,
210,Sunday Star-Times,New_Zealand_majority,1.0,5.0,Peaceful_protest_majority,0.8,4.0
211,Times Leader,,,,,,
212,WNEP-TV16,United_States_majority,1.0,6.0,Peaceful_protest_majority,1.0,6.0
213,Youtube,,,,,,
214,Citizens' Voice,,,,,,
215,Ihlas News Agency,,,,,,
216,El Pais (Uruguay),Uruguay_majority,0.9090909090909091,10.0,Peaceful_protest_majority,0.9090909090909091,10.0
217,WHAS11,United_States_majority,1.0,7.0,Peaceful_protest_majority,1.0,7.0
218,WDRB,United_States_majority,1.0,12.0,Peaceful_protest_majority,0.9166666666666666,11.0
219,Radio Osterreich 1,,,,,,
220,Kleine Zeitung,Austria_majority,0.967741935483871,30.0,Peaceful_protest_majority,0.7741935483870968,24.0
221,Krone,,,,,,
222,Venezia Today,,,,,,
223,Israel Hayom,,,,,,
224,Haderi Ha Haredeem,,,,,,
225,Dongyang Ilbo,South_Korea_majority,1.0,18.0,Peaceful_protest_majority,0.8888888888888888,16.0
226,Kosova Press,Kosovo_majority,1.0,7.0,Peaceful_protest_majority,1.0,7.0
227,CLB (China),China_majority,1.0,38.0,Peaceful_protest_majority,0.8947368421052632,34.0
228,Zuunii Medee,,,,,,
229,Ziarul de Iasi,Romania_majority,1.0,40.0,Peaceful_protest_majority,0.75,30.0
230,Hankyoreh,,,,,,
231,Sambad English (India),,,,,,
232,New Indian Express,,,,,,
233,Chandigarh Tribune,,,,,,
234,HCH,Honduras_majority,1.0,45.0,Peaceful_protest_majority,0.8888888888888888,40.0
235,Sunstar (Philippines),,,,,,
236,Cebu Daily News,,,,,,
237,Noroeste,Mexico_majority,1.0,28.0,Peaceful_protest_majority,1.0,28.0
238,De Telegraaf,,,,,,
239,MBK Media,,,,,,
240,RFE/RL,,,,,,
241,ABC7 (New York),United_States_majority,1.0,38.0,Peaceful_protest_majority,0.9210526315789473,35.0
242,News 12,United_States_majority,1.0,15.0,Peaceful_protest_majority,0.9333333333333333,14.0
243,Anti-Defamation League,United_States_majority,1.0,28.0,Other_majority,0.8928571428571429,25.0
244,Jewish News Syndicate,,,,,,
245,24Kg,,,,,,
246,Asia Press,,,,,,
247,Waterkant,,,,,,
248,Suriname Herald,,,,,,
249,FNN,Japan_majority,1.0,21.0,Peaceful_protest_majority,0.7619047619047619,16.0
250,Dinesh Khabar,,,,,,
251,KWCH12,United_States_majority,1.0,8.0,Peaceful_protest_majority,0.875,7.0
252,Northern Advocate,New_Zealand_majority,1.0,9.0,Peaceful_protest_majority,0.7777777777777778,7.0
253,L'Adige,,,,,,
254,NBC4 Southern California,United_States_majority,1.0,7.0,Peaceful_protest_majority,0.7142857142857143,5.0
255,Fox11 (Los Angeles),United_States_majority,1.0,18.0,Peaceful_protest_majority,0.9444444444444444,17.0
256,SaveCalifornia.com,United_States_majority,1.0,6.0,Peaceful_protest_majority,1.0,6.0
257,La Manche Libre,France_majority,1.0,20.0,Peaceful_protest_majority,1.0,20.0
258,Daily News (South Africa),,,,,,
259,Kreiszeitung,,,,,,
260,New York Times,,,,,,
261,Orissa TV,India_majority,1.0,74.0,Peaceful_protest_majority,0.7702702702702703,57.0
262,Il Pescara,Italy_majority,1.0,74.0,Peaceful_protest_majority,1.0,74.0
263,France24,,,,,,
264,Iran Kargar,,,,,,
265,Eteraze Bazar,Iran_majority,1.0,55.0,Peaceful_protest_majority,0.9636363636363636,53.0
266,Free Union of Iranian Workers,,,,,,
267,Annapurna Post,,,,,,
268,The Hindu,,,,,,
269,Ruhrnachrichten,Germany_majority,1.0,75.0,Peaceful_protest_majority,0.8933333333333333,67.0
270,Le Poing,France_majority,1.0,7.0,Peaceful_protest_majority,0.8571428571428571,6.0
271,Cerveaux Non Disponibles,France_majority,0.953125,61.0,Peaceful_protest_majority,0.796875,51.0
272,FTV,Taiwan_majority,1.0,25.0,Peaceful_protest_majority,0.92,23.0
273,Diario de Chimbote (Peru),Peru_majority,1.0,14.0,Peaceful_protest_majority,1.0,14.0
274,AMNA,,,,,,
275,DC News Now,,,,,,
276,Redheaded Blackbelt,United_States_majority,1.0,10.0,Peaceful_protest_majority,0.9,9.0
277,Hoy Tamaulipas,Mexico_majority,1.0,70.0,Peaceful_protest_majority,0.9285714285714286,65.0
278,El Observador,Uruguay_majority,1.0,14.0,Peaceful_protest_majority,0.7857142857142857,11.0
279,Seoul Shinmun,,,,,,
280,El Faro De Ceuta,Spain_majority,1.0,18.0,Peaceful_protest_majority,0.9444444444444444,17.0
281,Washingtonian,,,,,,
282,Milenio,,,,,,
283,Kompas,,,,,,
284,Cumhuriyet,,,,,,
285,Omroep Brabant,,,,,,
286,1 News,New_Zealand_majority,1.0,5.0,Peaceful_protest_majority,0.8,4.0
287,Global Times (China),,,,,,
288,La Depeche,,,,,,
289,National Post (Canada),,,,,,
290,Ottawa Citizen,Canada_majority,1.0,52.0,Peaceful_protest_majority,0.7692307692307693,40.0
291,Journal Metro,,,,,,
292,Ratopati,,,,,,
293,El Sol de Hidalgo,Mexico_majority,1.0,5.0,Peaceful_protest_majority,0.8,4.0
294,Diario Via Libre,Mexico_majority,1.0,6.0,Peaceful_protest_majority,0.8333333333333334,5.0
295,La Silla Rota,,,,,,
296,El Periodico,Guatemala_majority,0.9642857142857143,54.0,Peaceful_protest_majority,0.75,42.0
297,France 3 Regions,,,,,,
298,Saskatoon StarPhoenix,Canada_majority,1.0,36.0,Peaceful_protest_majority,0.9166666666666666,33.0
299,National Observer (Canada),,,,,,
300,KGUN9,United_States_majority,1.0,15.0,Peaceful_protest_majority,1.0,15.0
301,Schwabische Zeitung,Germany_majority,1.0,64.0,Peaceful_protest_majority,0.875,56.0
302,Vosges matin,France_majority,1.0,5.0,Peaceful_protest_majority,1.0,5.0
303,Fox17 (Nashville),United_States_majority,1.0,6.0,Peaceful_protest_majority,1.0,6.0
304,Europa Press,,,,,,
305,WINK-TV,United_States_majority,1.0,9.0,Peaceful_protest_majority,0.7777777777777778,7.0
306,WSVN,United_States_majority,1.0,22.0,Peaceful_protest_majority,0.8636363636363636,19.0
307,Publico (Spain),Spain_majority,1.0,38.0,Peaceful_protest_majority,0.9736842105263158,37.0
308,Northlines,India_majority,1.0,22.0,Peaceful_protest_majority,0.9090909090909091,20.0
309,ArezzoWeb,Italy_majority,1.0,19.0,Peaceful_protest_majority,0.8947368421052632,17.0
310,BRUZZ,Belgium_majority,1.0,73.0,Peaceful_protest_majority,0.7397260273972602,54.0
311,ION News,,,,,,
312,People's Press,,,,,,
313,Macao News,,,,,,
314,Fuldaer Zeitung,Germany_majority,1.0,83.0,Peaceful_protest_majority,0.927710843373494,77.0
315,Diario El Dia,,,,,,
316,La Republique du Centre,France_majority,1.0,23.0,Peaceful_protest_majority,1.0,23.0
317,Le Dauphine,,,,,,
318,Samoa News,,,,,,
319,RNZ,,,,,,
320,Government Information Office of Nauru,,,,,,
321,Chosun Ilbo,South_Korea_majority,1.0,74.0,Peaceful_protest_majority,0.918918918918919,68.0
322,La Voz De Galicia,,,,,,
323,WBUR,,,,,,
324,La Voz del Interior (Argentina),Argentina_majority,1.0,30.0,Peaceful_protest_majority,0.9,27.0
325,Liberty Times,Taiwan_majority,1.0,47.0,Peaceful_protest_majority,0.9574468085106383,45.0
326,News.ro,Romania_majority,1.0,75.0,Peaceful_protest_majority,0.7333333333333333,55.0
327,Haber 7,Turkey_majority,1.0,24.0,Change_to_group_activity_majority,0.9166666666666666,22.0
328,Asian News International,,,,,,
329,Hudson Valley One,,,,,,
330,Polizei Sachsen,,,,,,
331,Midi Libre,France_majority,1.0,83.0,Peaceful_protest_majority,0.9397590361445783,78.0
332,WJHL News Channel 11,United_States_majority,1.0,6.0,Peaceful_protest_majority,1.0,6.0
333,Ohio Capital Journal,,,,,,
334,TiffinOhio,,,,,,
335,Cleveland Scene,,,,,,
336,Greater Jammu,India_majority,1.0,16.0,Peaceful_protest_majority,0.8125,13.0
337,UDN,Taiwan_majority,1.0,14.0,Peaceful_protest_majority,1.0,14.0
338,Entorno Informativo,Mexico_majority,1.0,33.0,Peaceful_protest_majority,0.8787878787878788,29.0
339,MilitiaWatch,,,,,,
340,Jewish Journal,,,,,,
341,Assam Tribune,India_majority,1.0,72.0,Peaceful_protest_majority,0.7916666666666666,57.0
342,JPNN,,,,,,
343,Deutsche Welle,,,,,,
344,ABC7 (San Francisco),United_States_majority,1.0,23.0,Peaceful_protest_majority,0.9130434782608695,21.0
345,Sun News (Myrtle Beach),,,,,,
346,Kashmir Images,India_majority,1.0,11.0,Peaceful_protest_majority,0.7272727272727273,8.0
347,News 18 (India),,,,,,
348,La Prensa (Honduras),Honduras_majority,1.0,61.0,Peaceful_protest_majority,0.8032786885245902,49.0
349,Rheinpfalz,,,,,,
350,ABC15 (Florence),United_States_majority,1.0,9.0,Peaceful_protest_majority,0.8888888888888888,8.0
351,Swr,,,,,,
352,Rise and Resist NY,United_States_majority,1.0,11.0,Peaceful_protest_majority,1.0,11.0
353,Radio One (Mauritius),,,,,,
354,El Impulso,Venezuela_majority,1.0,54.0,Peaceful_protest_majority,1.0,54.0
355,ET Today,Taiwan_majority,1.0,13.0,Peaceful_protest_majority,0.7692307692307693,10.0
356,ABC Color,,,,,,
357,Northeast Today,,,,,,
358,JoongAng Ilbo,,,,,,
359,Korea Economic Daily,South_Korea_majority,0.9791666666666666,47.0,Peaceful_protest_majority,0.8958333333333334,43.0
360,Press of Atlantic City,United_States_majority,1.0,8.0,Peaceful_protest_majority,1.0,8.0
361,Rhein-Neckar-Zeitung,,,,,,
362,Haberler,,,,,,
363,Northeast Now,,,,,,
364,MSN News,United_States_majority,0.9,9.0,Peaceful_protest_majority,1.0,10.0
365,TVi Portugal,,,,,,
366,La Nacion (Argentina),,,,,,
367,Il Mattino,Italy_majority,1.0,10.0,Peaceful_protest_majority,1.0,10.0
368,Umbria24,Italy_majority,1.0,75.0,Peaceful_protest_majority,0.9866666666666667,74.0
369,RIAS,,,,,,
370,L'Echo Republicain,France_majority,1.0,32.0,Peaceful_protest_majority,1.0,32.0
371,L'Yonne,France_majority,1.0,37.0,Peaceful_protest_majority,1.0,37.0
372,La Provence,France_majority,0.9791666666666666,47.0,Peaceful_protest_majority,0.9375,45.0
373,Revolution Permanente,France_majority,0.972972972972973,36.0,Peaceful_protest_majority,0.7027027027027027,26.0
374,PSL Birmingham,,,,,,
375,Newsweek,United_States_majority,1.0,21.0,Peaceful_protest_majority,0.7619047619047619,16.0
376,Padova Oggi,Italy_majority,1.0,67.0,Peaceful_protest_majority,0.9850746268656716,66.0
377,HRW,,,,,,
378,South Wales Argus,United_Kingdom_majority,1.0,7.0,Peaceful_protest_majority,0.7142857142857143,5.0
379,Kent Online,United_Kingdom_majority,1.0,15.0,Peaceful_protest_majority,0.8,12.0
380,Centre Presse,France_majority,1.0,29.0,Peaceful_protest_majority,1.0,29.0
381,South China Morning Post,,,,,,
382,Segye Ilbo,,,,,,
383,ABC News,United_States_majority,1.0,6.0,Peaceful_protest_majority,0.8333333333333334,5.0
384,ABC6 (New Bedford),United_States_majority,1.0,7.0,Peaceful_protest_majority,0.8571428571428571,6.0
385,Newsday Trinidad and Tobago,Trinidad_and_Tobago_majority,1.0,15.0,Peaceful_protest_majority,0.7333333333333333,11.0
386,Trinidad and Tobago Guardian,,,,,,
387,La Gazette (Madagascar),,,,,,
388,Madagascar TV,,,,,,
389,L'Est Republicain,,,,,,
390,La Marseillaise,France_majority,1.0,35.0,Peaceful_protest_majority,0.9714285714285714,34.0
391,La Montagne,,,,,,
392,La Republique des Pyrenees,France_majority,1.0,46.0,Peaceful_protest_majority,0.9347826086956522,43.0
393,La Voix Du Nord,,,,,,
394,Le Populaire,France_majority,1.0,14.0,Peaceful_protest_majority,0.9285714285714286,13.0
395,Ouest France,,,,,,
396,Heraldo De Aragon,,,,,,
397,Tabasco Hoy,Mexico_majority,1.0,32.0,Peaceful_protest_majority,0.8125,26.0
398,Indymedia Argentina,,,,,,
399,Vanuatu Daily Post,,,,,,
400,Independent (United Kingdom),,,,,,
401,Early Times (India),India_majority,1.0,61.0,Peaceful_protest_majority,0.9508196721311475,58.0
402,Kurir.mk,,,,,,
403,SEIU Healthcare Pennsylvania,United_States_majority,1.0,8.0,Peaceful_protest_majority,1.0,8.0
404,Fox43,United_States_majority,1.0,5.0,Peaceful_protest_majority,0.8,4.0
405,El Siglo de Durango,Mexico_majority,1.0,58.0,Peaceful_protest_majority,0.896551724137931,52.0
406,Antena San Luis,Mexico_majority,1.0,24.0,Peaceful_protest_majority,0.75,18.0
407,Uprise RI,United_States_majority,1.0,15.0,Peaceful_protest_majority,1.0,15.0
408,Forest Lake Times,,,,,,
409,Busan Ilbo,South_Korea_majority,1.0,69.0,Peaceful_protest_majority,0.9855072463768116,68.0
410,Irish Examiner,Ireland_majority,0.9,18.0,Peaceful_protest_majority,0.85,17.0
411,Morgen Post,Germany_majority,1.0,69.0,Peaceful_protest_majority,0.7681159420289855,53.0
412,NowNews,,,,,,
413,Kiho Ilbo,South_Korea_majority,1.0,39.0,Peaceful_protest_majority,1.0,39.0
414,Colima Noticias,Mexico_majority,1.0,11.0,Peaceful_protest_majority,0.9090909090909091,10.0
415,Newsweek.ro,Romania_majority,1.0,45.0,Peaceful_protest_majority,0.7111111111111111,32.0
416,Adevarul,,,,,,
417,Aosta Sera,Italy_majority,1.0,29.0,Peaceful_protest_majority,1.0,29.0
418,Chieti Today,Italy_majority,1.0,22.0,Peaceful_protest_majority,1.0,22.0
419,Daily Beast,United_States_majority,1.0,6.0,Peaceful_protest_majority,0.8333333333333334,5.0
420,WUSA9,United_States_majority,1.0,21.0,Peaceful_protest_majority,0.9047619047619048,19.0
421,Facebook,,,,,,
422,Fox45 (Baltimore),United_States_majority,1.0,31.0,Peaceful_protest_majority,0.9032258064516129,28.0
423,Herald-Mail,United_States_majority,1.0,6.0,Peaceful_protest_majority,1.0,6.0
424,Derrick,,,,,,
425,SOL (Germany),Germany_majority,1.0,22.0,Peaceful_protest_majority,1.0,22.0
426,Dong-a Ilbo,South_Korea_majority,0.972972972972973,36.0,Peaceful_protest_majority,0.8378378378378378,31.0
427,Newcastle Herald,Australia_majority,1.0,20.0,Peaceful_protest_majority,0.7,14.0
428,Greater Kashmir,India_majority,1.0,33.0,Peaceful_protest_majority,0.8181818181818182,27.0
429,Oggi Treviso,Italy_majority,1.0,80.0,Peaceful_protest_majority,0.9875,79.0
430,West Australian,Australia_majority,1.0,21.0,Peaceful_protest_majority,0.9047619047619048,19.0
431,La Tribune (Canada),Canada_majority,1.0,11.0,Peaceful_protest_majority,0.8181818181818182,9.0
432,Pagina 24 Zacatecas,Mexico_majority,1.0,21.0,Peaceful_protest_majority,1.0,21.0
433,Kyeongin Ilbo,South_Korea_majority,1.0,51.0,Peaceful_protest_majority,1.0,51.0
434,Corse-Matin,,,,,,
435,KOCO5,United_States_majority,1.0,9.0,Peaceful_protest_majority,1.0,9.0
436,Tulsa World,United_States_majority,1.0,9.0,Peaceful_protest_majority,0.8888888888888888,8.0
